epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8204,4.15409,5.9698,1.78824,0,0,0,0,3.83104,5.80258,1.28122,2.56e-06,2.56e-06,2.56e-06
2,38.5913,4.19609,5.91108,1.7555,0,0,0,0,3.81744,5.79805,1.279,6.33664e-06,6.33664e-06,6.33664e-06
3,56.9501,4.25674,6.02532,1.84406,0,0,0,0,3.79691,5.79269,1.27,1.00372e-05,1.00372e-05,1.00372e-05
4,77.6543,4.18909,5.96229,1.75145,0,0,0,0,3.77183,5.78319,1.25772,1.36618e-05,1.36618e-05,1.36618e-05
5,97.0275,4.17486,5.95038,1.78131,0,0,0,0,3.76924,5.78228,1.24792,1.72104e-05,1.72104e-05,1.72104e-05
6,114.648,4.14352,5.92483,1.75312,0,0,0,0,3.74068,5.77617,1.22787,2.06829e-05,2.06829e-05,2.06829e-05
7,132.154,3.90925,5.8745,1.61091,0,0,0,0,3.72559,5.77283,1.21703,2.40794e-05,2.40794e-05,2.40794e-05
8,149.587,3.92392,5.80546,1.56035,0,0,0,0,3.71791,5.76716,1.20438,2.73998e-05,2.73998e-05,2.73998e-05
9,164.067,3.9088,5.82977,1.5211,0,0,0,0,3.72767,5.76578,1.1917,3.06442e-05,3.06442e-05,3.06442e-05
10,179.872,3.81848,5.75828,1.51211,0,0,0,0,3.73523,5.76288,1.18466,3.38126e-05,3.38126e-05,3.38126e-05
11,198.064,4.091,5.77815,1.52657,0,0,0,0,3.74916,5.75785,1.17869,3.6905e-05,3.6905e-05,3.6905e-05
12,214.053,3.85697,5.7384,1.4043,0,0,0,0,3.76891,5.75643,1.17367,3.99213e-05,3.99213e-05,3.99213e-05
13,231.039,3.6706,5.72331,1.43809,0,0,0,0,3.78778,5.75598,1.16777,4.28616e-05,4.28616e-05,4.28616e-05
14,246.582,3.77606,5.72697,1.42003,0,0,0,0,3.79395,5.75048,1.16134,4.57258e-05,4.57258e-05,4.57258e-05
15,264.32,3.71333,5.69557,1.35989,0,0,0,0,3.79395,5.75048,1.16134,4.8514e-05,4.8514e-05,4.8514e-05
16,281.032,3.71322,5.66525,1.36033,0,0,0,0,3.80383,5.74729,1.15463,5.12262e-05,5.12262e-05,5.12262e-05
17,297.58,3.72356,5.66251,1.34028,0,0,0,0,3.80475,5.73957,1.15014,5.38624e-05,5.38624e-05,5.38624e-05
18,313.61,3.69341,5.62483,1.30674,0,0,0,0,3.80475,5.73957,1.15014,5.64225e-05,5.64225e-05,5.64225e-05
19,331.417,3.9805,5.73022,1.37696,0,0,0,0,3.80206,5.72932,1.14185,5.89066e-05,5.89066e-05,5.89066e-05
